tConst,title,year,rating,votes
tt0012739,Tangled Trails,1921,4.8,20.0
tt0012746,Terror Trail,1921,1.0,10.0
tt0012747,That Girl Montana,1921,6.5,11.0
tt0012754,Three Word Brand,1921,6.9,23.0
tt0012769,Too Wise Wives,1921,5.9,125.0
tt0012772,The Torrent,1921,1.6,9.0
tt0012794,Vallfarten till Kevlaar,1921,6.9,8.0
tt0012807,Give Me My Son,1921,5.0,10.0
tt0012815,Värmlänningarna,1921,6.5,14.0
tt0012827,What Do Men Want?,1921,6.4,18.0
tt0012843,White Oak,1921,6.1,36.0
tt0012862,Woman's Place,1921,5.3,9.0
tt0012868,Das Wunder des Schneeschuhs,1920,6.9,15.0
tt0012879,Adam and Eva,1923,8.0,41.0
tt0012885,Alexandra,1922,6.2,13.0
tt0012894,Anderssonskans Kalle,1922,5.6,11.0
tt0012917,Back Pay,1922,7.1,27.0
tt0012928,Beauty's Worth,1922,6.1,747.0
tt0012937,Beyond the Rainbow,1922,6.8,8.0
tt0012938,Beyond the Rocks,1922,6.8,2195.0
tt0012948,Blazing Arrows,1922,6.0,10.0
tt0012949,A Blind Bargain,1922,6.0,26.0
tt0012958,The Bohemian Girl,1922,6.6,36.0
tt0012975,The Bride's Play,1922,6.2,247.0
tt0012997,Captain Fly-by-Night,1922,6.1,12.0
tt0012998,Captain Kidd,1922,3.6,14.0
tt0013022,Come on Over,1922,6.2,15.0
tt0013033,Crainquebille,1922,7.1,330.0
tt0013034,The Crimson Challenge,1922,1.6,9.0
tt0013059,Der var engang,1922,6.3,326.0
tt0013075,Dr. Jack,1922,7.1,1153.0
tt0013076,A Doll's House,1922,6.2,11.0
tt0013085,Down to the Sea in Ships,1922,6.1,323.0
tt0013086,Dr. Mabuse the Gambler,1922,7.9,6928.0
tt0013110,Fair Lady,1922,5.0,8.0
tt0013118,Os Faroleiros,1922,6.4,41.0
tt0013132,Flames of Passion,1923,5.4,5.0
tt0013135,Flesh and Spirit,1922,6.9,10.0
tt0013140,Foolish Wives,1922,7.1,2827.0
tt0013169,Die Gezeichneten,1922,6.5,340.0
tt0013170,The Ghost Breaker,1922,6.7,10.0
tt0013189,Golden Dreams,1922,6.0,8.0
tt0013227,Heart's Haven,1922,5.7,10.0
tt0013254,Hungry Hearts,1922,6.8,21.0
tt0013255,Hurricane's Gal,1922,5.0,9.0
tt0013263,Im Kampf mit dem Berge - 1. Teil: In Sturm und Eis - Eine Alpensymphonie in Bildern,1921,7.0,42.0
tt0013264,The Impossible Mrs. Bellew,1922,6.6,8.0
tt0013284,Just Tony,1922,7.0,24.0
tt0013299,Kjærlighet på pinde,1922,4.7,7.0
tt0013303,The Lane That Had No Turning,1922,4.7,9.0
tt0013332,Lorna Doone,1922,6.7,257.0
tt0013339,A Lover's Oath,1925,5.3,7.0
tt0013343,Luffar-Petter,1922,5.6,41.0
tt0013344,Luise Millerin,1922,6.1,8.0
tt0013367,The Man from Beyond,1922,5.5,202.0
tt0013368,The Man from Downing Street,1922,6.2,11.0
tt0013386,Merry-Go-Round,1923,6.6,275.0
tt0013404,Moran of the Lady Letty,1922,6.5,301.0
tt0013427,Nanook of the North,1922,7.6,10027.0
tt0013428,Nathan der Weise,1922,6.9,106.0
tt0013439,No Trespassing,1922,6.9,23.0
tt0013450,Oliver Twist,1922,6.7,686.0
tt0013451,Omar the Tentmaker,1922,6.8,9.0
tt0013452,The House Surrounded,1922,6.9,10.0
tt0013469,Othello,1922,6.4,227.0
tt0013496,Phantom,1922,6.9,1460.0
tt0013502,Polly of the Follies,1922,6.7,6.0
tt0013512,The Primitive Lover,1922,7.0,88.0
tt0013535,Real Adventure,1922,6.3,7.0
tt0013540,Red Hot Romance,1922,4.9,15.0
tt0013571,Salomé,1922,6.6,770.0
tt0013572,Samson und Delila,1922,5.0,20.0
tt0013579,Warning Shadows,1923,6.9,797.0
tt0013592,Shadows,1922,6.3,350.0
tt0013603,Silver Wings,1922,4.1,24.0
tt0013611,Smilin' Through,1922,7.0,59.0
tt0013619,Sodom und Gomorrha,1922,6.0,160.0
tt0013626,The Smiling Madame Beudet,1923,6.7,1887.0
tt0013627,South of Northern Lights,1922,5.2,10.0
tt0013662,Tess of the Storm Country,1922,6.9,398.0
tt0013679,Tillie,1922,6.9,7.0
tt0013681,The Timber Queen,1922,5.7,13.0
tt0013682,Timothy's Quest,1922,7.6,62.0
tt0013704,The Trap,1922,6.1,112.0
tt0013705,Trapped by the Mormons,1922,5.7,132.0
tt0013716,Turn to the Right,1922,6.2,12.0
tt0013724,Unseeing Eyes,1923,6.0,8.0
tt0013728,Vanina,1922,6.0,44.0
tt0013735,The Village Blacksmith,1922,4.9,69.0
tt0013766,Wild Honey,1922,2.2,11.0
tt0013795,Yellow Men and Gold,1922,6.7,9.0
tt0013802,The Young Rajah,1922,6.4,354.0
tt0013824,All the Brothers Were Valiant,1923,6.2,20.0
tt0013825,All for Money,1923,5.8,13.0
tt0013833,Anderssonskans Kalle på nya upptåg,1923,5.3,10.0
tt0013834,Anna Christie,1923,6.9,74.0
tt0013846,The Red Inn,1923,6.9,84.0
tt0013866,Bell Boy 13,1923,4.9,12.0
tt0013867,Bella Donna,1923,6.8,15.0
tt0013868,La belle Nivernaise,1924,7.0,81.0
tt0013877,Bluebeard's 8th Wife,1923,7.1,9.0
tt0013886,Brass,1923,6.6,9.0
tt0013896,Broken Hearts of Broadway,1923,6.2,44.0
tt0013917,A Chapter in Her Life,1923,5.3,10.0
tt0013925,Chu-Chin-Chow,1923,6.5,18.0
tt0013926,Circus Days,1923,6.5,27.0
tt0013933,The Faithful Heart,1923,7.6,1036.0
tt0013951,The Covered Wagon,1923,6.5,480.0
tt0013961,Cupid's Fireman,1923,5.1,16.0
